Quelles commandes permettent d'installer Samba sur une distribution Debian/Ubuntu ?;yum install -y samba samba-common-bin;rpm -i samba samba-client;sudo apt install -y samba samba-common-bin (et smbclient cifs-utils pour les outils clients);sudo dnf install -y samba samba-client samba-common;4;Sur Debian/Ubuntu, on installe Samba avec : sudo apt install -y samba samba-common-bin. Pour les outils clients (tester les connexions en ligne de commande) : sudo apt install -y smbclient cifs-utils. La version installée peut être vérifiée avec : smbd --version.
Comment vérifier les ports TCP/UDP ouverts par les services Samba sur Linux ?;netstat -an | grep samba;nmap localhost -p 137-445;sudo ss -tulnp | grep -E 'smbd|nmbd|winbindd';lsof -i :445;4;La commande sudo ss -tulnp | grep -E 'smbd|nmbd|winbindd' affiche les ports ouverts par les services Samba. On doit voir : TCP 445 et TCP 139 pour smbd, UDP 137 et UDP 138 pour nmbd.
Quelle commande Samba vérifie la syntaxe du fichier /etc/samba/smb.conf et affiche la configuration effective ?;smbcheck -v;smbclient --configtest;testparm;smbd -configtest;4;La commande testparm vérifie la syntaxe du fichier smb.conf et affiche la configuration effective (valeurs réelles après application des valeurs par défaut). Elle est équivalente à apachectl configtest pour Apache. À utiliser avant tout redémarrage du service.
Comment ajouter un utilisateur à la base de données Samba pour lui permettre de s'authentifier ?;useradd alice && passwd alice (le même mot de passe est utilisé par Samba);samba-adduser alice;sudo smbpasswd -a alice (demande un mot de passe Samba, distinct du mot de passe Unix);sudo adduser alice samba;4;La commande sudo smbpasswd -a alice ajoute l'utilisateur alice à la base de données Samba (créée distinctement de /etc/passwd). Elle demande de définir un mot de passe Samba. L'utilisateur doit au préalable exister dans le système Unix. Pour activer : smbpasswd -e, désactiver : smbpasswd -d, supprimer : smbpasswd -x.
Pourquoi crée-t-on des utilisateurs Unix avec "--shell /bin/false --no-create-home" pour Samba ?;Pour optimiser les performances des partages Samba en désactivant les fonctionnalités inutiles;Pour créer des comptes purement techniques, sans répertoire home et sans connexion shell interactive, destinés uniquement à l'accès aux partages Samba;Pour que ces utilisateurs puissent accéder uniquement aux partages publics sans authentification;Pour intégrer automatiquement ces utilisateurs dans Active Directory;3;La commande useradd --shell /bin/false --no-create-home alice crée un utilisateur sans home directory et sans shell de connexion interactif. Cela permet de créer des comptes purement techniques pour l'accès Samba sans permettre de connexion SSH ou locale au système Linux, respectant le principe du moindre privilège.
Quelle est la différence entre pdbedit et smbpasswd pour la gestion des utilisateurs Samba ?;Les deux commandes sont strictement identiques;pdbedit gère la base de données des utilisateurs Samba (listage, détails, administration) ; smbpasswd gère spécifiquement les mots de passe des utilisateurs Samba;pdbedit s'utilise sur Red Hat, smbpasswd sur Debian;pdbedit crée des utilisateurs, smbpasswd les supprime;3;pdbedit est un outil de gestion de la base de données des utilisateurs Samba (pdbedit -L pour lister, pdbedit -L -v alice pour les détails). smbpasswd est dédié à la gestion des mots de passe (smbpasswd -a = ajouter, -e = activer, -d = désactiver, -x = supprimer). Les deux sont complémentaires.
Comment lister tous les partages Samba disponibles sur un serveur depuis un client Linux ?;ls -l //serveur/ ;showmount -e serveur;smbclient -L //192.168.1.100 -U alice;net share list //192.168.1.100;4;La commande smbclient -L //192.168.1.100 -U alice liste tous les partages disponibles sur le serveur Samba à l'adresse 192.168.1.100, en s'authentifiant avec l'utilisateur alice. smbclient est le client SMB en ligne de commande, similaire à un client FTP pour SMB.
Quelle commande Samba affiche l'état des connexions actives (qui est connecté à quels partages) ?;smbclient status;pdbedit --status;smbstatus;netstat -samba;4;La commande sudo smbstatus affiche l'état des connexions Samba actives : quels utilisateurs sont connectés, à quels partages, depuis quelles adresses IP et quels fichiers sont ouverts. Très utile pour le diagnostic et la surveillance en temps réel des connexions Samba.
Quel outil Samba est polyvalent pour gérer les partages, utilisateurs et groupes depuis la ligne de commande ?;smbclient avec ses sous-commandes;testparm avec des options de gestion;net, avec des commandes comme "net user list", "net user add", "net share list";pdbedit avec l'option --manage;4;L'outil net est un outil polyvalent pour gérer les partages, utilisateurs et groupes Samba. Exemples : net user list (liste les utilisateurs), net user add toor password123 (ajouter un utilisateur), net share list (liste les partages). Il est équivalent à la commande net de Windows.
Quelle commande résout les noms NetBIOS en adresses IP dans un environnement Samba ?;nslookup --netbios;smbclient --lookup;dig --netbios;nmblookup samba-server;5;La commande nmblookup résout les noms NetBIOS en adresses IP. Exemple : nmblookup samba-server retourne l'adresse IP associée au nom NetBIOS "samba-server". C'est l'équivalent de la résolution DNS mais pour les noms NetBIOS.
Quels droits Linux sont appropriés pour un répertoire de partage Samba accessible à tous les membres d'un groupe ?;chmod 0755 et chown root:root;chmod 0777 et chown nobody:nobody;chmod 0770 et chown root:devteam (accès complet au groupe devteam, aucun accès aux autres);chmod 0700 et chown alice:alice;4;Pour un partage sécurisé accessible aux membres d'un groupe uniquement : chmod 0770 (rwxrwx---) donne lecture/écriture/exécution au propriétaire et au groupe, aucun droit aux autres. chown root:devteam attribue le groupe devteam. Dans smb.conf, "valid users = @devteam" restreint l'accès Samba aux membres de ce groupe.
Que faut-il configurer sous SELinux pour qu'un répertoire soit accessible via Samba ?;Désactiver SELinux temporairement avec setenforce 0;Créer une règle iptables autorisant le port 445 en entrée;Appliquer le contexte SELinux samba_share_t au répertoire avec la commande chcon -t samba_share_t;Ajouter le répertoire dans /etc/selinux/samba.conf;4;Sous SELinux, les répertoires partagés via Samba doivent avoir le contexte SELinux approprié. La commande sudo chcon -t samba_share_t /srv/samba/public applique le contexte. Pour une application récursive : chcon -R -t samba_share_t /srv/samba/secure. On vérifie si SELinux est actif avec la commande sestatus.
Dans smb.conf, que configure la section [global] avec le paramètre "workgroup = MONDOMAINE" ?;Le nom du répertoire partagé par défaut sur le serveur Samba;La liste des utilisateurs autorisés à accéder au domaine;Le nom du groupe de travail ou du domaine Windows auquel appartient le serveur Samba, visible par les clients Windows;Le groupe Unix des processus Samba;4;La section [global] de smb.conf contient les paramètres globaux s'appliquant à tout le serveur. Le paramètre "workgroup = MONDOMAINE" définit le nom du groupe de travail (workgroup) ou du domaine Windows auquel appartient le serveur. "server string = Serveur Samba %h" définit la description du serveur (%h est remplacé par le hostname).
Quels paquets supplémentaires faut-il installer pour intégrer un serveur Linux (Samba) à un domaine Active Directory ?;samba-ad-connector winbind-kerberos;apache2 ldap-client;krb5-config winbind libpam-winbind libnss-winbind adcli realmd;openldap-server sssd kerberos-server;4;Pour intégrer un serveur Linux à un domaine Active Directory via Samba, il faut installer : krb5-config (configuration Kerberos), winbind (intégration Winbind), libpam-winbind (module PAM pour Winbind), libnss-winbind (résolution noms/groupes AD), adcli (outil de jonction au domaine) et realmd (gestion de la jonction au domaine).
Quelle est la couche OSI sur laquelle opèrent principalement les protocoles SMB et CIFS dans l'architecture Samba ?;Couche 3 (Réseau) - IP;Couche 4 (Transport) - TCP/UDP;Couche 5 (Session) - gestion des connexions;Couche 7 (Application) - SMB/CIFS et NetBIOS;5;SMB et CIFS opèrent principalement en couche 7 (Application) du modèle OSI. La couche Session (5) gère les connexions utilisateurs via TDB, LDAP ou Active Directory. La couche Présentation (6) gère le chiffrement SMB3, la compression et l'encodage Unicode. La couche Transport (4) utilise TCP (port 445) ou UDP (NetBIOS).
