Quelle est l'architecture du noyau Linux décrite dans le document ?,Linux repose sur une architecture dite monolithique modulaire.
Quel est le principe de fonctionnement de `rsync` ?,Il compare les fichiers source et destination et ne transfère que les différences.
Que signifie l'option `-a` dans la commande `rsync` ?,"C'est le mode archive, qui préserve les droits, propriétaires, liens et dates."
"Lors d'une migration avec rsync, quelle est la première étape après avoir créé et monté la cible ?",Effectuer une première synchronisation avec `rsync` alors que les applications sont toujours actives.
Quelle option de `rsync` est cruciale lors de la synchronisation finale pour garantir une correspondance stricte ?,"L'option `--delete`, qui supprime sur la destination les fichiers qui n'existent plus sur la source."
Quelle est l'étape finale d'une migration par `rsync` pour la rendre effective ?,"La bascule, qui consiste à modifier les points de montage (souvent dans `/etc/fstab`) et à redémarrer les services."
"La migration avec _____ est idéale pour des migrations matérielles transparentes, sans changement logique.",pvmove
La migration avec _____ est indispensable pour les restructurations ou les changements de systèmes de fichiers.,rsync
Qu'est-ce qu'un réseau SAN (Storage Area Network) ?,"Un réseau indépendant, souvent en fibre optique, reliant des serveurs à des baies de disques."
Comment chaque port Fibre Channel (FC) sur un réseau SAN est-il identifié de manière unique ?,Par un numéro appelé World Wide Name (WWN).
"En administration SAN, qu'est-ce que le 'zoning' ?",La création de zones de communication sécurisées au sein du SAN en organisant les chemins entre serveurs et baies.
"En administration SAN, comment s'appelle l'opération de découpage des disques physiques en unités logiques ?",Le LUN mapping (création de LUN - Logical Unit Number).
"En administration SAN, comment se nomme l'autorisation donnée à un serveur pour accéder à une LUN spécifique ?",Le masking.
Qu'est-ce qu'un stockage NAS (Network Attached Storage) ?,Un stockage qui présente des volumes sous forme de partages réseau à travers le réseau Ethernet classique (TCP/IP).
Quels protocoles de partage sont typiquement utilisés par le NAS dans les environnements Linux et Microsoft ?,NFS dans les environnements Linux et SMB/CIFS dans les environnements Microsoft.
Quelle est la principale différence entre SAN et NAS au niveau du modèle OSI ?,"Elles n'évoluent pas sur les mêmes couches du modèle OSI (le SAN est au niveau bloc, le NAS au niveau fichier)."
Quel type de stockage (SAN ou NAS) offre généralement les performances les plus élevées ?,"Le stockage SAN, car les volumes sont perçus comme des disques locaux par les serveurs."
Quel est un cas d'usage typique pour le stockage SAN ?,Les bases de données ou les datastores pour les environnements virtualisés.
Quel est un avantage majeur du stockage NAS par rapport au SAN ?,Une gestion plus simple des droits d'accès et le partage simultané de volumes entre plusieurs serveurs.
Quel est un cas d'usage typique pour le stockage NAS ?,"L'archivage, la sauvegarde, et le partage de fichiers collaboratifs."
Quel est le principal inconvénient du stockage SAN mentionné dans le texte ?,Un coût élevé et la nécessité de compétences techniques spécifiques.
Quel est le principal inconvénient du stockage NAS mentionné dans le texte ?,Des performances généralement inférieures à celles du SAN.
