Quel est le rôle principal d'un système de gestion de fichiers (SGF) sous Linux ?,"Le SGF fournit une abstraction entre le matériel de stockage et l'utilisateur, organisant les blocs binaires en fichiers et répertoires exploitables."
L'usure des cellules de mémoire flash NAND est une contrainte majeure pour quel type de support de stockage ?,Les disques SSD (Solid State Drive).
Quel outil est essentiel pour déclencher manuellement l'opération TRIM sur un SSD ?,La commande `fstrim`.
Les _____ sont les unités de stockage effectives du contenu des fichiers.,blocs de données
Quel est le risque si un disque manque d'inodes avant de manquer d'espace de stockage ?,Cela bloque la création de tout nouveau fichier sur le système de fichiers.
Les systèmes de fichiers modernes comme ext4 et XFS utilisent des algorithmes qui tentent de placer les blocs d'un fichier de manière _____ pour limiter la fragmentation.,contiguë
Que se passe-t-il lors de la suppression d'un fichier au niveau des structures du SGF ?,"Le lien entre le nom et l'inode est supprimé, et si le compteur de liens de l'inode tombe à zéro, l'inode et ses blocs de données sont marqués comme libres."
Quelle commande permet d'identifier les secteurs défectueux sur un disque dur ?,La commande `badblocks`.
Quel est le principal symptôme de blocs de données corrompus ?,Des fichiers illisibles et des erreurs d'entrée/sortie (Input/output error).
L'option de montage `relatime` est un compromis qui met à jour le temps d'accès (atime) uniquement si _____.,c'est nécessaire (par exemple si l'atime est plus ancien que le temps de modification).
"Quelle commande affiche les métadonnées d'un fichier, y compris son numéro d'inode, sa taille et les blocs utilisés ?",La commande `stat`.
"L'outil _____ peut afficher le superbloc, les bitmaps et d'autres structures internes d'un système de fichiers ext.",dumpe2fs
La _____ est une table maintenue par le noyau qui conserve en mémoire une copie des inodes actifs.,table des inodes en mémoire (Inode Table)
L'appel système _____ permet d'appliquer un verrou global sur un fichier entier.,flock
Quelle est la conséquence d'une 'fuite de fichiers ouverts' dans une application mal développée ?,"Une accumulation d'entrées dans les tables de fichiers ouverts, pouvant mener à une erreur 'Too many open files'."
Quelle commande est indispensable pour identifier quel processus empêche le démontage d'un système de fichiers ?,La commande `fuser -m /point/de/montage`.
"Les commandes standards comme `ls`, `cp`, `mv`, `rm` sont des surcouches qui invoquent en interne des _____.",appels systèmes (syscalls)
Quel appel système permet de créer un lien symbolique ?,L'appel système `symlink()`.
"Quel outil, complémentaire à `strace`, trace les appels aux bibliothèques d'un processus ?",L'outil `ltrace`.
