Quelle est la définition d'un portail applicatif ?,C'est une plateforme web qui offre un point d'entrée unifié et une authentification centralisée à diverses ressources d'un système d'information.
Quels sont les deux types de solutions SSO décrits dans le document ?,Le SSO serveur (centralisé) et le SSO client (logiciel sur le poste).
Quel est le principal avantage du SSO serveur en termes de sécurité ?,"Il n'y a pas de transmission de mots de passe, ce qui renforce la sécurité."
"Pour les besoins complexes, les portails basés sur _____ ou les solutions SaaS offrent des fonctionnalités avancées.",Java.
Le marché du SSO devrait atteindre combien de milliards de dollars en 2025 ?,"3,34 milliards de dollars."
Quel portefeuille électronique est spécifiquement intégré à l'écosystème Apple et utilise la biométrie ?,Apple Pay.
Quel pourcentage de Français utilisent un portefeuille numérique en 2025 ?,89%.
Quel protocole standard est utilisé pour sécuriser les échanges entre un navigateur et un serveur de paiement (indiqué par HTTPS) ?,Le chiffrement SSL/TLS.
Quel pourcentage des actifs sont équipés d'ordinateurs portables ?,89%.
Qu'est-ce que l'encapsulation dans le contexte du MAM ?,"C'est le fait de placer les applications métiers dans un conteneur sécurisé, les isolant des données personnelles sur le terminal."
"En programmation mobile, quel est l'inconvénient des performances pour les applications hybrides par rapport aux natives ?",Les performances sont légèrement inférieures à celles des applications natives.
Quel est le principal inconvénient d'une Progressive Web App (PWA) ?,Ses fonctionnalités sont limitées en mode hors ligne et elle est moins intégrée à l'OS.
Quelle fonctionnalité d'un MDM permet de déployer automatiquement des applications métiers ou de sécurité sur les terminaux ?,La distribution et mise à jour d'applications.
"Une fonctionnalité de sécurité d'un MDM est la _____, qui restreint l'usage du terminal dans certaines zones géographiques.",Limitation géolocalisée.
Quel est le rôle d'un proxy applicatif dans la sécurisation de la synchronisation des données mobiles ?,"Il filtre les accès selon le terminal, les droits utilisateurs ou l'identifiant de l'équipement."
